	MOL_ID	MOL_INDEX
812	MOL002841	812
813	MOL002850	813
814	MOL002851	814
815	MOL002854	815
816	MOL002875	816
817	MOL002881	817
818	MOL002883	818
819	MOL002891	819
820	MOL002894	820
821	MOL002896	821
822	MOL002897	822
823	MOL002898	823
824	MOL002900	824
825	MOL002901	825
826	MOL002902	826
827	MOL002903	827
828	MOL002904	828
829	MOL002905	829
830	MOL002909	830
831	MOL002910	831
832	MOL002912	832
833	MOL002913	833
834	MOL002914	834
835	MOL002915	835
836	MOL002916	836
837	MOL002917	837
838	MOL002918	838
839	MOL002919	839
840	MOL002922	840
841	MOL002924	841
842	MOL002925	842
843	MOL002927	843
844	MOL002928	844
845	MOL002932	845
846	MOL002933	846
847	MOL002934	847
848	MOL002936	848
849	MOL002937	849
850	MOL002944	850
851	MOL002962	851
852	MOL002972	852
853	MOL002975	853
854	MOL003004	854
855	MOL003028	855
856	MOL003032	856
857	MOL003044	857
858	MOL003047	858
859	MOL003050	859
860	MOL003069	860
861	MOL003088	861
862	MOL003097	862
863	MOL003104	863
864	MOL003127	864
865	MOL003177	865
866	MOL003180	866
867	MOL003283	867
868	MOL003287	868
869	MOL003290	869
870	MOL003291	870
871	MOL003294	871
872	MOL003295	872
873	MOL003298	873
874	MOL003300	874
875	MOL003302	875
876	MOL003306	876
877	MOL003308	877
878	MOL003310	878
879	MOL003312	879
880	MOL003319	880
881	MOL003320	881
882	MOL003322	882
883	MOL003328	883
884	MOL003330	884
885	MOL003341	885
886	MOL003354	886
887	MOL003355	887
888	MOL003356	888
889	MOL003357	889
890	MOL003358	890
891	MOL003359	891
892	MOL003360	892
893	MOL003366	893
894	MOL003370	894
895	MOL003378	895
896	MOL003388	896
897	MOL003389	897
898	MOL003398	898
899	MOL003402	899
900	MOL003403	900
901	MOL003404	901
902	MOL003484	902
903	MOL003493	903
904	MOL003502	904
905	MOL003503	905
906	MOL003506	906
907	MOL003520	907
908	MOL003521	908
909	MOL003522	909
910	MOL003525	910
911	MOL003527	911
912	MOL003531	912
913	MOL003534	913
914	MOL003536	914
915	MOL003537	915
916	MOL003538	916
917	MOL003541	917
918	MOL003542	918
919	MOL003545	919
920	MOL003546	920
921	MOL003547	921
922	MOL003573	922
923	MOL003574	923
924	MOL003587	924
925	MOL003608	925
926	MOL003609	926
927	MOL003616	927
928	MOL003619	928
929	MOL003648	929
930	MOL003673	930
931	MOL003717	931
932	MOL003735	932
933	MOL003740	933
934	MOL003755	934
935	MOL003756	935
936	MOL003758	936
937	MOL003759	937
938	MOL003767	938
939	MOL003786	939
940	MOL003800	940
941	MOL003840	941
942	MOL003841	942
943	MOL003847	943
944	MOL003849	944
945	MOL003851	945
946	MOL003856	946
947	MOL003857	947
948	MOL003858	948
949	MOL003859	949
950	MOL003860	950
951	MOL003861	951
952	MOL003862	952
953	MOL003866	953
954	MOL003868	954
955	MOL003869	955
956	MOL003870	956
957	MOL003871	957
958	MOL003872	958
959	MOL003877	959
960	MOL003879	960
961	MOL003883	961
962	MOL003884	962
963	MOL003896	963
964	MOL003897	964
965	MOL003924	965
966	MOL003927	966
967	MOL003937	967
968	MOL003939	968
969	MOL003949	969
970	MOL003951	970
971	MOL003962	971
972	MOL003969	972
973	MOL003970	973
974	MOL003971	974
975	MOL003973	975
976	MOL003975	976
977	MOL003993	977
978	MOL004067	978
979	MOL004071	979
980	MOL004083	980
981	MOL004095	981
982	MOL004112	982
983	MOL004114	983
984	MOL004124	984
985	MOL004125	985
986	MOL004126	986
987	MOL004127	987
988	MOL004129	988
989	MOL004130	989
990	MOL004135	990
991	MOL004136	991
992	MOL004165	992
993	MOL004167	993
994	MOL004174	994
995	MOL004190	995
996	MOL004191	996
997	MOL004192	997
998	MOL004193	998
999	MOL004194	999
1000	MOL004195	1000
1001	MOL004196	1001
1002	MOL004197	1002
1003	MOL004198	1003
1004	MOL004199	1004
1005	MOL004200	1005
1006	MOL004201	1006
1007	MOL004202	1007
1008	MOL004203	1008
1009	MOL004204	1009
1010	MOL004205	1010
1011	MOL004206	1011
1012	MOL004207	1012
1013	MOL004208	1013
1014	MOL004209	1014
1015	MOL004210	1015
1016	MOL004211	1016
1017	MOL004214	1017
1018	MOL004215	1018
1019	MOL004216	1019
1020	MOL004217	1020
1021	MOL004218	1021
1022	MOL004220	1022
1023	MOL004221	1023
1024	MOL004222	1024
1025	MOL004223	1025
1026	MOL004224	1026
1027	MOL004225	1027
1028	MOL004226	1028
1029	MOL004228	1029
1030	MOL004229	1030
1031	MOL004230	1031
1032	MOL004231	1032
1033	MOL004232	1033
1034	MOL004233	1034
1035	MOL004234	1035
1036	MOL004235	1036
1037	MOL004284	1037
1038	MOL004328	1038
1039	MOL004362	1039
1040	MOL004364	1040
1041	MOL004365	1041
1042	MOL004367	1042
1043	MOL004368	1043
1044	MOL004369	1044
1045	MOL004370	1045
1046	MOL004371	1046
1047	MOL004372	1047
1048	MOL004373	1048
1049	MOL004375	1049
1050	MOL004376	1050
1051	MOL004380	1051
1052	MOL004381	1052
1053	MOL004382	1053
1054	MOL004383	1054
1055	MOL004384	1055
1056	MOL004385	1056
1057	MOL004386	1057
1058	MOL004388	1058
1059	MOL004390	1059
1060	MOL004391	1060
1061	MOL004393	1061
1062	MOL004395	1062
1063	MOL004396	1063
1064	MOL004397	1064
1065	MOL004398	1065
1066	MOL004400	1066
1067	MOL004401	1067
1068	MOL004402	1068
1069	MOL004403	1069
1070	MOL004405	1070
1071	MOL004407	1071
1072	MOL004410	1072
1073	MOL004411	1073
1074	MOL004413	1074
1075	MOL004414	1075
1076	MOL004418	1076
1077	MOL004419	1077
1078	MOL004420	1078
1079	MOL004421	1079
1080	MOL004422	1080
1081	MOL004424	1081
1082	MOL004426	1082
1083	MOL004427	1083
1084	MOL004429	1084
1085	MOL004430	1085
1086	MOL004432	1086
1087	MOL004433	1087
1088	MOL004434	1088
1089	MOL004443	1089
1090	MOL004446	1090
1091	MOL004447	1091
1092	MOL004454	1092
1093	MOL004456	1093
1094	MOL004457	1094
1095	MOL004461	1095
1096	MOL004470	1096
1097	MOL004480	1097
1098	MOL004493	1098
1099	MOL004497	1099
1100	MOL004503	1100
1101	MOL004517	1101
1102	MOL004525	1102
1103	MOL004527	1103
1104	MOL004561	1104
1105	MOL004573	1105
1106	MOL004576	1106
1107	MOL004580	1107
1108	MOL004589	1108
1109	MOL004598	1109
1110	MOL004599	1110
1111	MOL004602	1111
1112	MOL004608	1112
1113	MOL004609	1113
1114	MOL004610	1114
1115	MOL004613	1115
1116	MOL004617	1116
1117	MOL004619	1117
1118	MOL004623	1118
1119	MOL004624	1119
1120	MOL004629	1120
1121	MOL004631	1121
1122	MOL004647	1122
1123	MOL004650	1123
1124	MOL004653	1124
1125	MOL004656	1125
1126	MOL004657	1126
1127	MOL004658	1127
1128	MOL004665	1128
1129	MOL004666	1129
1130	MOL004667	1130
1131	MOL004668	1131
1132	MOL004671	1132
1133	MOL004675	1133
1134	MOL004677	1134
1135	MOL004678	1135
1136	MOL004679	1136
1137	MOL004680	1137
1138	MOL004682	1138
1139	MOL004683	1139
1140	MOL004688	1140
1141	MOL004705	1141
1142	MOL004706	1142
1143	MOL004707	1143
1144	MOL004708	1144
1145	MOL004709	1145
1146	MOL004710	1146
1147	MOL004713	1147
1148	MOL004715	1148
1149	MOL004716	1149
1150	MOL004717	1150
1151	MOL004720	1151
1152	MOL004721	1152
1153	MOL004722	1153
1154	MOL004723	1154
1155	MOL004725	1155
1156	MOL004727	1156
1157	MOL004728	1157
1158	MOL004729	1158
1159	MOL004739	1159
1160	MOL004746	1160
1161	MOL004753	1161
1162	MOL004754	1162
1163	MOL004755	1163
1164	MOL004760	1164
1165	MOL004763	1165
1166	MOL004767	1166
1167	MOL004769	1167
1168	MOL004774	1168
1169	MOL004777	1169
1170	MOL004778	1170
1171	MOL004779	1171
1172	MOL004780	1172
1173	MOL004786	1173
1174	MOL004788	1174
1175	MOL004792	1175
1176	MOL004793	1176
1177	MOL004794	1177
1178	MOL004798	1178
1179	MOL004832	1179
1180	MOL004881	1180
1181	MOL004912	1181
1182	MOL004925	1182
1183	MOL004941	1183
1184	MOL005021	1184
1185	MOL005030	1185
1186	MOL005093	1186
1187	MOL005094	1187
1188	MOL005100	1188
1189	MOL005125	1189
1190	MOL005147	1190
1191	MOL005151	1191
1192	MOL005160	1192
1193	MOL005173	1193
1194	MOL005180	1194
1195	MOL005190	1195
1196	MOL005206	1196
1197	MOL005229	1197
1198	MOL005235	1198
1199	MOL005244	1199
1200	MOL005274	1200
1201	MOL005278	1201
1202	MOL005293	1202
1203	MOL005321	1203
1204	MOL005322	1204
1205	MOL005366	1205
1206	MOL005367	1206
1207	MOL005384	1207
1208	MOL005386	1208
1209	MOL005391	1209
1210	MOL005394	1210
1211	MOL005402	1211
1212	MOL005423	1212
1213	MOL005425	1213
1214	MOL005448	1214
1215	MOL005449	1215
1216	MOL005481	1216
1217	MOL005515	1217
1218	MOL005528	1218
1219	MOL005530	1219
1220	MOL005563	1220
1221	MOL005573	1221
1222	MOL005588	1222
1223	MOL005612	1223
1224	MOL005707	1224
1225	MOL005723	1225
1226	MOL005726	1226
1227	MOL005727	1227
1228	MOL005734	1228
1229	MOL005786	1229
1230	MOL005789	1230
1231	MOL005790	1231
1232	MOL005792	1232
1233	MOL005793	1233
1234	MOL005795	1234
1235	MOL005800	1235
1236	MOL005802	1236
1237	MOL005803	1237
1238	MOL005806	1238
1239	MOL005807	1239
1240	MOL005811	1240
1241	MOL005814	1241
1242	MOL005815	1242
1243	MOL005816	1243
1244	MOL005817	1244
1245	MOL005818	1245
1246	MOL005821	1246
1247	MOL005823	1247
1248	MOL005828	1248
1249	MOL005835	1249
1250	MOL005836	1250
1251	MOL005840	1251
1252	MOL005842	1252
1253	MOL005849	1253
1254	MOL005885	1254
1255	MOL005886	1255
1256	MOL005888	1256
1257	MOL005889	1257
1258	MOL005892	1258
1259	MOL005893	1259
1260	MOL005894	1260
1261	MOL005895	1261
1262	MOL005896	1262
1263	MOL005897	1263
1264	MOL005899	1264
1265	MOL005901	1265
1266	MOL005902	1266
1267	MOL005903	1267
1268	MOL005905	1268
1269	MOL005907	1269
1270	MOL005908	1270
1271	MOL005909	1271
1272	MOL005910	1272
1273	MOL005911	1273
1274	MOL005912	1274
1275	MOL005914	1275
1276	MOL005915	1276
1277	MOL005916	1277
1278	MOL005918	1278
1279	MOL005921	1279
1280	MOL005924	1280
1281	MOL005927	1281
1282	MOL005928	1282
1283	MOL005932	1283
1284	MOL005934	1284
1285	MOL005955	1285
1286	MOL005956	1286
1287	MOL005957	1287
1288	MOL005959	1288
1289	MOL005961	1289
1290	MOL005964	1290
1291	MOL005965	1291
1292	MOL005966	1292
1293	MOL005968	1293
1294	MOL005970	1294
1295	MOL005972	1295
1296	MOL005980	1296
1297	MOL005991	1297
1298	MOL005992	1298
1299	MOL006003	1299
1300	MOL006006	1300
1301	MOL006039	1301
1302	MOL006047	1302
1303	MOL006071	1303
1304	MOL006077	1304
1305	MOL006121	1305
1306	MOL006123	1306
1307	MOL006126	1307
1308	MOL006129	1308
1309	MOL006147	1309
1310	MOL006157	1310
1311	MOL006179	1311
1312	MOL006189	1312
1313	MOL006192	1313
1314	MOL006194	1314
1315	MOL006195	1315
1316	MOL006196	1316
1317	MOL006197	1317
1318	MOL006198	1318
1319	MOL006202	1319
1320	MOL006209	1320
1321	MOL006210	1321
1322	MOL006211	1322
1323	MOL006212	1323
